ementa_id,entities
2014-04-15#REQUERIMENTO#245#APROVADO,SECRETARIA DE AGRICULTURA###GALANTE
2014-04-23#REQUERIMENTO#333#APROVADO,SECRETARIA DE AGRICULTURA###GALANTE
2014-04-24#REQUERIMENTO#510#APROVADO,SECRETARIA DE DESENVOLVIMENTO ECONÔMICO###GALANTE
2014-06-04#REQUERIMENTO#660#APROVADO,SECRETARIA DE AGRICULTURA
2014-06-04#REQUERIMENTO#630#APROVADO,SECRETARIA DE AGRICULTURA
2014-06-04#REQUERIMENTO#850#APROVADO,SÃO JOSÉ DA MATA
2014-06-04#REQUERIMENTO#658#APROVADO,CEPAL-COMISSÃO ECONÔMICA PARA A AMÉRICA LATINA
2014-07-15#REQUERIMENTO#1140#APROVADO,SECRETARIA DE AGRICULTURA
2014-07-15#REQUERIMENTO#1131#APROVADO,SECRETARIA DE AGRICULTURA
2014-07-15#REQUERIMENTO#1141#APROVADO,SECRETARIA DE AGRICULTURA###SECRETARIA DE DESENVOLVIMENTO ECONÔMICO###PARQUE DO POVO
2014-07-15#REQUERIMENTO#1132#APROVADO,SECRETARIA DE AGRICULTURA
2014-09-09#REQUERIMENTO#1298#APROVADO,SECRETARIA DE AGRICULTURA
2014-10-08#REQUERIMENTO#1189#APROVADO,SECRETARIA DE AGRICULTURA###SEBRAE###UEPB
2014-10-08#REQUERIMENTO#1191#APROVADO,SECRETARIA DE AGRICULTURA###EMBRAPA
2014-10-08#REQUERIMENTO#1190#APROVADO,SECRETARIA DE AGRICULTURA###MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO
2014-10-08#REQUERIMENTO#1466#APROVADO,SECRETARIA DE AGRICULTURA
2014-10-08#REQUERIMENTO#1465#APROVADO,SECRETARIA DE AGRICULTURA
2014-10-21#REQUERIMENTO#1432#APROVADO,SECRETARIA DE ADMINISTRAÇÃO
2014-10-21#REQUERIMENTO#1376#APROVADO,SECRETARIA DE AGRICULTURA
2014-10-21#REQUERIMENTO#1434#APROVADO,SECRETARIA DE AGRICULTURA
2014-10-22#REQUERIMENTO#1359#APROVADO,SECRETARIA DE AGRICULTURA
2014-11-18#REQUERIMENTO#1900#APROVADO,SECRETARIA DE AGRICULTURA###ASSENTAMENTO VITÓRIA###CATOLÉ DE BOA VISTA
2014-11-19#REQUERIMENTO#1840#APROVADO,SECRETARIA DE AGRICULTURA
2014-12-10#REQUERIMENTO#2153#APROVADO,SECRETARIA DE AGRICULTURA
2015-03-12#REQUERIMENTO#2130#APROVADO,POLÍCIA MILITAR DA PARAÍBA
2015-03-12#REQUERIMENTO#2186#APROVADO,SECRETARIA DE AGRICULTURA
2015-04-22#REQUERIMENTO#274#APROVADO,SECRETARIA DE AGRICULTURA
2015-07-08#REQUERIMENTO#875#APROVADO,SECRETARIA DE DESENVOLVIMENTO ECONÔMICO###GALANTE
2015-07-09#REQUERIMENTO#921#APROVADO,SECRETARIA DE AGRICULTURA###SECRETARIA DE EDUCAÇÃO
2015-07-28#REQUERIMENTO#944#APROVADO,SECRETARIA DE AGRICULTURA
2015-08-12#REQUERIMENTO#1162#APROVADO,SECRETARIA DE AGRICULTURA###GALANTE
2015-10-08#REQUERIMENTO#1485#APROVADO,PREFEITURA DE CAMPINA GRANDE###SECRETARIA DE AGRICULTURA
2015-11-18#REQUERIMENTO#1733#APROVADO,SECRETARIA DE AGRICULTURA###COMUNIDADE JORGE DE CIMA###GALANTE
2016-02-17#REQUERIMENTO#14#APROVADO,SECRETARIA DE AGRICULTURA
2016-04-19#REQUERIMENTO#368#APROVADO,SECRETARIA DE AGRICULTURA###CENTRO DE ZOONOSES
2016-05-05#REQUERIMENTO#514#APROVADO,SECRETARIA DE AGRICULTURA###GALANTE
2016-07-11#REQUERIMENTO#801#APROVADO,SECRETARIA MUNICIPAL DE AGRICULTURA###ASSENTAMENTO VENÂNCIO TOMÉ###CATOLÉ DE BOA VISTA
2016-07-11#REQUERIMENTO#800#APROVADO,SECRETARIA MUNICIPAL DE AGRICULTURA###ASSENTAMENTO VITÓRIA###CATOLÉ DE BOA VISTA
2016-07-21#REQUERIMENTO#802#APROVADO,SECRETARIA MUNICIPAL DE AGRICULTURA###ASSENTAMENTO JOSÉ ANTONIO EUFROZINO###CATOLÉ DE BOA VISTA
2013-08-14#PEDIDO DE INFORMAÇÃO#9#APROVADO,COMPANHIA DE ÁGUA E ESGOTO DA PARAÍBA - CAGEPA
2013-11-28#PEDIDO DE INFORMAÇÃO#12#APROVADO,SUDEMA###BOQUEIRÃO###CONSTRUTORA CAPPELLANO
2015-07-09#PEDIDO DE INFORMAÇÃO#14#APROVADO,CAGEPA###TERMOÉLETRICA BORBOREMA ENERGÉTICA
2015-07-09#PEDIDO DE INFORMAÇÃO#13#APROVADO,TERMOÉLETRICA BORBOREMA ENERGÉTICA###AÇUDE EPITÁCIO PESSOA
2015-07-15#PEDIDO DE INFORMAÇÃO#15#APROVADO,AÇUDE DE BODOCONGÓ
2016-04-13#PEDIDO DE INFORMAÇÃO#5#APROVADO,COMPANHIA DE ÁGUA E ESGOTO DA PARAÍBA###CAGEPA
2016-05-25#PEDIDO DE INFORMAÇÃO#10#APROVADO,CAGEPA###AÇUDE DE BOQUEIRÃO
2013-03-05#REQUERIMENTO#24#APROVADO,CAGEPA###RUA HENRIQUE DE SOUSA FILHO###BAIRRO DO JARDIM BORBOREMA
2013-03-05#REQUERIMENTO#61#APROVADO,RUA DULCE ESCOREL###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#51#APROVADO,RUA JOSÉ MOISÉS DE MEDEIROS###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#49#APROVADO,RUA PROFESSORA MARIA DO CARMO MONTENEGRO###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#57#APROVADO,RUA SEBASTIÃO MARTINS DE OLIVEIRA###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#53#APROVADO,RUA VITORINA BARRETO DE OLIVEIRA###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#4#APROVADO,CAGEPA
2013-03-05#REQUERIMENTO#94#APROVADO,SECRETARIA DE SERVIÇOS URBANOS E MEIO AMBIENTE###AÇUDE VELHO
2013-03-05#REQUERIMENTO#65#APROVADO,RUA ISOLDA BARROS TORQUATO###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#70#APROVADO,RUA MARIA LEAL DE MELO###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#60#APROVADO,RUA SEVERINO MARTINS###BAIRRO DE BODOCONGÓ
2013-03-05#REQUERIMENTO#3#APROVADO,SECRETARIA DE EDUCAÇÃO
2013-03-12#REQUERIMENTO#351#APROVADO,RUA CLAUDINO GABINO DE OLIVEIRA###BAIRRO DA RAMADINHA
2013-03-12#REQUERIMENTO#349#APROVADO,RUA JOSÉ SOARES DE OLIVEIRA###BAIRRO DA RAMADINHA
2013-03-12#REQUERIMENTO#348#APROVADO,RUA JÚLIA ALEIXO DE QUEIROZ###BAIRRO DA RAMADINHA
2013-03-12#REQUERIMENTO#369#APROVADO,RUA NOBELINO TEIXEIRA DE BRITO###BAIRRO DE BODOCONGÓ
2013-03-12#REQUERIMENTO#227#APROVADO,SECRETARIA DE OBRAS###RUA JOÃO SILVEIRA GUIMARÃES###BAIRRO DO CATOLÉ
2013-03-12#REQUERIMENTO#152#APROVADO,SÍTIO AÇUDE DE DENTRO###CATOLÉ DE BOA VISTA
2013-03-13#REQUERIMENTO#156#APROVADO,SECRETARIA DE OBRAS###RUA: SALVINO DA COSTA AGRA
2013-03-13#REQUERIMENTO#454#APROVADO,AESA###CAGEPA###AÇUDE DE BOQUEIRÃO###AÇUDE DE BOQUEIRÃO
2013-04-03#REQUERIMENTO#609#APROVADO,AÇUDE DO COVÃO
2013-04-03#REQUERIMENTO#214#APROVADO,CAGEPA###PONTO CEM REIS
2013-04-03#REQUERIMENTO#253#APROVADO,CAGEPA###RUA MAXIMINIANO MACHADO###BAIRRO DO JOSÉ PINHEIRO
2013-04-03#REQUERIMENTO#475#APROVADO,RUA MARIA JOSÉ CAROLINO DE LIMA###CASTELO BRANCO
2013-04-03#REQUERIMENTO#742#APROVADO,SECRETARIA DE OBRAS###BAIRRO JARDIM EUROPA
2013-04-03#REQUERIMENTO#583#APROVADO,SECRETARIA DE OBRAS###JARDIM MENEZES###GALANTE
2013-04-03#REQUERIMENTO#430#APROVADO,CAGEPA
2013-04-03#REQUERIMENTO#548#APROVADO,RUA CÌCERA CECÍLIA FEITOSA###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#549#APROVADO,RUA EDIVIRGES PEREIRA ARAUJO###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#544#APROVADO,RUA JOANA GUEDES DE AQUINO###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#542#APROVADO,RUA JOSÉ ZACARIAS DA COSTA###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#558#APROVADO,RUA MÁRIO RODRIGO COUTA###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#541#APROVADO,RUA OLÍVIA CATÃO DE LUCENA###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#543#APROVADO,RUA RITA DOS SANTOS ARAUJO###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#550#APROVADO,RUA VALFREDO GOMES ARAUJO###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#632#APROVADO,ASSENTAMENTO QUIXABA###CATOLÉ DE BOA VISTA
2013-04-03#REQUERIMENTO#608#APROVADO,SÍTIOS CARRETÃO###OLHO D'ÁGUA
2013-04-03#REQUERIMENTO#297#APROVADO,CAGEPA###RUA ESPÍRITO SANTO###BAIRRO DA LIBERDADE
2013-04-03#REQUERIMENTO#623#APROVADO,CAGEPA###RUA OTÁCILIO COLAÇO###BAIRRO MONTE SANTO
2013-04-03#REQUERIMENTO#620#APROVADO,CAGEPA###TRAVESSA JAMILA ABRAÃO JORGE II###BAIRRO DAS MALVINAS
2013-04-03#REQUERIMENTO#621#APROVADO,CAGEPA###TRAVESSA JAMILA ABRAÃO JORGE I###BAIRRO MALVINAS
2013-04-03#REQUERIMENTO#717#APROVADO,CAGEPA###RUA SANTO INÁCIO###BAIRRO JEREMIAS
2013-04-03#REQUERIMENTO#718#APROVADO,CAGEPA###RUA SÃO RAFAEL###BAIRRO JEREMIAS
2013-04-03#REQUERIMENTO#506#APROVADO,CAGEPA###RUA DA CHÃ###GALANTE
2013-04-03#REQUERIMENTO#584#APROVADO,CAGEPA###RUA MARIA JOSÉ CAROLINO DE LIMA###CASTELO BRANCO
2013-04-03#REQUERIMENTO#393#APROVADO,SECRETARIA DE OBRAS###AÇUDE VELHO
2013-04-03#REQUERIMENTO#395#APROVADO,SECRETARIA DE OBRAS###AÇUDE VELHO
2013-04-03#REQUERIMENTO#278#APROVADO,SECRETARIA DE OBRAS###BAIRRO DE BODOCONGÓ
2013-04-03#REQUERIMENTO#232#APROVADO,SECRETARIA DE OBRAS###CAGEPA
2013-04-03#REQUERIMENTO#461#APROVADO,RUA FRANCISCO AFONSO###BAIRRO DO BODOCONGÓ
2013-04-03#REQUERIMENTO#460#APROVADO,RUA LUIZ MALHEIROS###BAIRRO DO BODOCONGÓ
2013-04-03#REQUERIMENTO#463#APROVADO,RUA PROFESSOR JOÃO RODRIGUES###BAIRRO DO BODOCONGÓ
2013-04-03#REQUERIMENTO#462#APROVADO,TRAVESSA : PORTUGAL###BAIRRO DO BODOCONGÓ
2013-04-03#REQUERIMENTO#459#APROVADO,TRAVESSA ROQUETE PINTO###BAIRRO DO BODOCONGÓ
2013-04-09#REQUERIMENTO#781#APROVADO,CAGEPA###CONJUNTO JOÃO AGRIPINO
2013-04-09#REQUERIMENTO#280#APROVADO,CAGEPA###COMPANHIA DE ÁGUA E ESGOTO DA PARAÍBA###AVENIDA JUSCELINO KUBISTCHEK
2013-04-09#REQUERIMENTO#800#APROVADO,AÇUDE EPITÁCIO PESSOA###BOQUEIRÃO
2013-04-09#REQUERIMENTO#571#APROVADO,CAGEPA###PMCG
2013-04-09#REQUERIMENTO#760#APROVADO,CAGEPA
2013-04-09#REQUERIMENTO#565#APROVADO,CAGEPA###AVENIDA JUSCELINO KUBISTCHEK
2013-04-09#REQUERIMENTO#561#APROVADO,CAGEPA
2013-04-09#REQUERIMENTO#715#APROVADO,CAGEPA###RUA JOSÉ ALVES###JARDIM PAULISTANO
2013-04-16#REQUERIMENTO#887#APROVADO,CAGEPA
2013-05-08#REQUERIMENTO#1148#APROVADO,SISTEMA ADUTOR DO PAJEÚ###SERRA TALHADA###SÃO JOSÉ DOS CORDEIROS###AÇUDE EPITÁCIO PESSOA###BOQUEIRÃO
2013-05-15#REQUERIMENTO#931#APROVADO,CAGEPA###RUA FLORIANÓPOLIS###LOTEAMENTO JOÃO AGRIPINO
2013-05-15#REQUERIMENTO#950#APROVADO,CAGEPA###RUA MARIA CECI BARBOSA DA SILVA###LOTEAMENTO JOÃO AGRIPINO
2013-05-15#REQUERIMENTO#948#APROVADO,CAGEPA###RUA VENÂNCIO NOGUEIRA DA SILVA###LOTEAMENTO JOÃO AGRIPINO
2013-05-15#REQUERIMENTO#838#APROVADO,RUA MARIA GOMES BARBOSA###BAIRRO CATOLÉ JOSÉ FERREIRA
2013-05-15#REQUERIMENTO#836#APROVADO,RUA ANTONIO VICENTE###BAIRRO CATOLÉ JOSE FERREIRA
2013-05-15#REQUERIMENTO#842#APROVADO,RUA ARNÓBIO ARAUJO###BAIRRO CATOLÉ JOSÉ FERREIRA
2013-05-15#REQUERIMENTO#837#APROVADO,RUA DANIEL LUIS RODRIGUES###BAIRRO DO CATOLÉ JOSÉ FERREIRA
2013-05-15#REQUERIMENTO#917#APROVADO,SECRETARIA DE OBRAS###RUA AUGUSTO BORBOREMA###RUA FRANCISCO HERNESTO DO RÊGO###BAIRRO DO JARDIM PAULISTANO
2013-05-15#REQUERIMENTO#839#APROVADO,RUA ADALTON P. DE CARVALHO###BAIRRO CATOLÉ JOSÉ FERREIRA
2013-05-15#REQUERIMENTO#841#APROVADO,RUA FORTUOSO M. VASCONCELOS###BAIRRO CATOLÉ JOSÉ FERREIRA
2013-05-15#REQUERIMENTO#840#APROVADO,RUA JOSÉ SANTINO###BAIRRO CATOLÉ JOSÉ FERREIRA
2013-05-16#REQUERIMENTO#864#APROVADO,CAGEPA###RUA ANTONIO SOARES DA SILVA###BAIRRO ARAXÁ
2013-05-16#REQUERIMENTO#883#APROVADO,CAGEPA###RUA MARIA ESTELITA NEVES###BAIRRO ARAXÁ
2013-05-16#REQUERIMENTO#918#APROVADO,SECRETARIA DE OBRAS###RUA FRANCISCO HERNESTO DO RÊGO###BAIRRO DO JARDIM PAULISTANO
2013-05-28#REQUERIMENTO#1008#APROVADO,ESCOLA TÉCNICA REDENTORISTA-ETER###BAIRRO UNIVERSITÁRIO
2013-05-28#REQUERIMENTO#986#APROVADO,CAGEPA###RUAS VALFREDO GOMES DE ARAUJO###ANTONIO FERREIRA DE LIMA###CONJUNTO MARIZ
2013-05-28#REQUERIMENTO#1001#APROVADO,CAGEPA###RUA SEVERINO MATIAS DA SILVA###BAIRRO BODOCONGÓ
2013-06-05#REQUERIMENTO#1303#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA ARTUR DE FRANÇA GAMELEIRA###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1298#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA DARCY FERREIRA GALVÃO###CONJUNTO SONHO MEU###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1301#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA FRANCISCO EUFRASINO DA SILVA###CONJUNTO CHICO MENDES###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1302#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA JOSÉ ANCHIETA QUEIROZ###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1297#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA LUIS RODRIGUES DE ALBUQUERQUE###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1300#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA LUZIA GONÇALVES PEREIRA###CONJUNTO SONHO MEU###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1299#APROVADO,PREFEITURA DE CAMPINA GRANDE###RUA MANOEL MARTINS DE OLIVEIRA###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1290#APROVADO,RUA ETELVINA MARIA DO NASCIMENTO###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1287#APROVADO,RUA ARNALDO LOPES FIUZA###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1362#APROVADO,RUA CANTOR LUIZ GONZAGA###SÃO JOSÉ DA MATA
2013-06-05#REQUERIMENTO#1286#APROVADO,RUA HELENO DE SOUSA DO Ó###CONJUNTO SONHO MEU###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1361#APROVADO,RUA HELENO JOVINO GOMES###SÃO JOSÉ DA MATA
2013-06-05#REQUERIMENTO#1291#APROVADO,RUA JOÃO MARTINHO SOBRINHO###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1289#APROVADO,RUA LINDEMBERGUE GALDINO DA SILVA###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1285#APROVADO,RUA RISALVA NOGUEIRA DE CARVALHO###BAIRRO SERROTÃO###BODOCONGÓ III
2013-06-05#REQUERIMENTO#1288#APROVADO,RUA VENICIO GONZAGA DE ARAUJO###BAIRRO DO SERROTÃO
2013-06-05#REQUERIMENTO#1111#APROVADO,GRUPO ESCOLAR CENTENÁRIO###CATOLÉ
2013-06-05#REQUERIMENTO#1076#APROVADO,CATOLÉ
2013-06-05#REQUERIMENTO#1051#APROVADO,CAGEPA###RUA FRANCISCO EUFRAZINO DA SILVA###BAIRRO CHICO MENDES
2013-07-08#REQUERIMENTO#1809#APROVADO,CAGEPA###RUA AURORA DINIZ PEREZ###LOTEAMENTO JOÃO AGRIPINO
2013-07-08#REQUERIMENTO#1808#APROVADO,CAGEPA###RUA JOSEBIAS VIEIRA DE FARIAS###LOTEAMENTO JOÃO AGRIPINO
2013-07-30#REQUERIMENTO#1622#APROVADO,CAGEPA###RUA MANAUS###LOTEAMENTO JOÃO AGRIPINO
2013-07-30#REQUERIMENTO#1383#APROVADO,CAGEPA###TRAVESSA SEVERINO DE ALBUQUEQUE###BAIRRO DA LIBERDADE
2013-07-30#REQUERIMENTO#1149#APROVADO,AÇUDE DE ACAUÃ###AÇUDE DE BOQUEIRÃO
2013-07-30#REQUERIMENTO#1206#APROVADO,SECRETARIA DE OBRAS###COMUNIDADE DA CARIDADE
2013-07-30#REQUERIMENTO#1209#APROVADO,RUA MALAQUIAS DE SOUZA DO Ó###BAIRRO DO MIRANTE
2013-07-30#REQUERIMENTO#1360#APROVADO,RUA PROFESSORA LUIZA CABRAL DE CASTRO###SÃO JOSÉ DA MATA
2013-07-30#REQUERIMENTO#1282#APROVADO,RUA ONILDO RIBEIRO DE ASSIS###CONJUNTO SONHO MEU###BAIRRO DO SERROTÃO
2013-07-30#REQUERIMENTO#1597#APROVADO,CAGEPA###TRAVESSA RIACHUELO###BAIRRO DA LIBERDADE
2013-07-30#REQUERIMENTO#1595#APROVADO,CAGEPA###VILA CABRAL DE SANTA ROSA
2013-07-30#REQUERIMENTO#1411#APROVADO,CAGEPA###MANOEL MOTTA###RUA ANTONIO VIEIRA DA ROCHA###FRANCISCO MELQUIADES###BODOCONGÓ
2013-07-30#REQUERIMENTO#1373#APROVADO,COMPANHIA DE ÁGUA E ESGOTOS DA PARAÍBA###CAGEPA###RUA PROFESSOR CARLOS FRANCISCO MEDEIROS DE ALMEIDA###EMBRAPA###BAIRRO DO CENTENÁRIO
2013-07-30#REQUERIMENTO#1685#APROVADO,BAIRRO DE SANTA ROSA###BODOCONGÓ
2013-07-30#REQUERIMENTO#1095#APROVADO,SECRETARIA DE OBRAS###BODOCONGÓ###RUA JOÃO SÉRGIO DE ALMEIDA
2013-07-30#REQUERIMENTO#1200#APROVADO,AÇUDE DE BODOCONGÓ
2013-07-30#REQUERIMENTO#1443#APROVADO,CAGEPA###RUA JOÃO HERCULANO DINIZ###BAIRRO PALMEIRA
2013-07-30#REQUERIMENTO#1193#APROVADO,AÇUDE DE BOQUEIRÃO
2013-08-06#REQUERIMENTO#1117#APROVADO,CAGEPA###RUA JOSÉ ZACARIAS DA COSTA###BAIRRO MALVINAS
2013-08-08#REQUERIMENTO#1434#APROVADO,CAGEPA###RUA MANAUS###CONJUNTO ROCHA CAVALCANTI
2013-08-14#REQUERIMENTO#1910#APROVADO,CAGEPA###RUA JOÃO AGRIPINO DOS SANTOS###LOTEAMENTO JOÃO AGRIPINO
2013-08-20#REQUERIMENTO#1787#APROVADO,CAGEPA###RUA: FERNANDES VIEIRA###BAIRRO DE JOSÉ PINHEIRO
2013-08-21#REQUERIMENTO#1878#APROVADO,CAGEPA###RUA CASTOR DA PAIS###LOTEAMENTO JOÃO AGRIPINO
2013-08-21#REQUERIMENTO#1835#APROVADO,CAGEPA###RUA SEVERINO FÍDELIS DE SOUZA###LOTEAMENTO JOÃO AGRIPINO
2013-08-21#REQUERIMENTO#1713#APROVADO,CAGEPA###RUA GERALDA DE FÁTIMA PAIVA MAIA###LOTEAMENTO JOÃO AGRIPINO
2013-08-21#REQUERIMENTO#1691#APROVADO,CAGEPA###RUA MARIA EVA DE MOURA###LOTEAMENTO JOÃO AGRIPINO
2013-08-21#REQUERIMENTO#1613#APROVADO,CAGEPA###RUA SEVERIANO VALERIANO DE OLIVEIRA###LOTEAMENTO JOÃO AGRIPINO
2013-08-21#REQUERIMENTO#1853#APROVADO,SECRETARIA DE OBRAS###GALANTE
2013-08-21#REQUERIMENTO#1859#APROVADO,CAGEPA###RUA GLAUDE BEZERRA DE LIMA###LOTEAMENTO JOÃO AGRIPINO
2013-08-21#REQUERIMENTO#1635#APROVADO,CAGEPA
2013-08-21#REQUERIMENTO#1596#APROVADO,CAGEPA###RUA MINAS GERAIS###BAIRRO DA LIBERDADE###EMPRESA BORBOREMA
2013-08-21#REQUERIMENTO#1583#APROVADO,CAGEPA###AVENIDA DINAMÉRICA###FLORIANO PEIXOTO
2013-08-21#REQUERIMENTO#1644#APROVADO,AESA###SUDEMA###AÇUDE EPTITÁCIO PESSOA
2013-08-21#REQUERIMENTO#1943#APROVADO,AÇUDE ZÉ RODRIGUES###GALANTE
2013-08-21#REQUERIMENTO#1912#APROVADO,CAGEPA###RUA SALUSTIANO BEZERRA CABRAL###BAIRRO CRUZEIRO
2013-08-21#REQUERIMENTO#1921#APROVADO,CAGEPA###RUA DA CHÃ###GALANTE
2013-08-28#REQUERIMENTO#2118#APROVADO,COMPANHIA DE ÁGUA E ESGOTO DA PARAÍBA###CAGEPA###ÁGUAS DA AGÊNCIA NACIONAL DE ÁGUAS-ANA
2013-08-28#REQUERIMENTO#2091#APROVADO,ADUTORA ACAUÃ
2013-08-29#REQUERIMENTO#2134#APROVADO,MINISTÉRIO PÚBLICO
2013-09-11#REQUERIMENTO#1968#APROVADO,CAGEPA###RUA: FELIPE GOMES NO BAIRRO DO LIGEIRO
2013-09-11#REQUERIMENTO#2113#APROVADO,CAGEPA###RUA INÁCIO DA COSTA SAMPAIO###BAIRRO PROMORAR
2013-09-11#REQUERIMENTO#2114#APROVADO,CAGEPA###RUA MONTE CRISTO###BAIRRO JEREMIAS
2013-09-13#REQUERIMENTO#2112#APROVADO,CAGEPA###RUA INÁCIO DA COSTA SAMPAIO###BAIRRO PROMORAR
